主分類,子分類,標題,時間,內文
東吳資科相關,其他東吳資科,資管、資科推甄請益,2024/7/26 上午 8:15:33,"小弟我頭上一碩剛畢業
在修課期間對於資管領域感興趣
而未來工作希望能找金融科技類的工作
例如金融業的資料分析師/機器學習模型應用人員/科技儲備幹部等
因為覺得原本的校系對於找這類工作沒有優勢
因此才想試試看推甄二碩資管或資科

｛背景｝
大學：東吳大學 國際經營與貿易學系
（由中原國貿轉學進入）
畢業系排：40%
多益：680
修課：多為金融、行銷相關課程
（國際金融與匯兌、國際財務管理、國際行銷等）

碩士：中興大學 行銷學系碩士班
畢業系排：19/23（因為我多修了很多外系課程但GPA仍有4.03）
畢業論文：利用多模態深度學習方法預測XXXX
修課：多為數據與資訊相關課程
（數據：多變量分析、社群網絡分析、時間序列分析、行銷研究數據分析、應用行銷資料解析。資訊：線性代數、資料結構、演算法、資料庫系統設計、機器學習、深度學習）
相關作品集：除了論文之外，基本上都是課堂實作報告（工研院AIDEA的AOI瑕疵檢測和語音資料辨識、Kaggle的病患特徵分類等）

｛考慮推甄校系｝
資管：
成大資管
台科資管乙
中正醫資
北大資管

資科：
政大資科
中興資科

想請教各位同學
我這樣的經歷有機會推甄上嗎？
或是大家覺得其實原本的一碩學歷就可以找到相關工作呢？
謝謝看到這裡的大家🙏🙏"
東吳資科相關,其他東吳資科,東吳資料科學&東吳企管要怎麼選？,2022/5/31 上午 11:44:23,"如題，放榜之後就要開始決定志願序了
我企管正取，資料科學備取3，看歷年最低錄取資格我應該有機會上，但是兩個科系我都還蠻喜歡的，好難選🤯
想請教學長姐們比較推薦哪一個科系？
另外也想請問資料科學系的程式設計會很難嗎？如果高中階段沒有寫程式的經驗，進去之後學得來嗎🥲
希望大家可以給我一點意見，謝謝！"
東吳資科相關,其他東吳資科,回應學弟妹對資科系的疑惑與好奇,2025/8/3 下午 12:55:56,"Hi學弟妹們，偶是資科系的學長，因為前幾天看到有一篇新生對於資科系的好奇，因此由感而發，想說可以來介紹一下資科系。首先資科系全銜為""資料科學系""，不是資訊科學系，所以學的方面是偏向資料分析、大數據這part，而非資管系架設Web或資工系做演算法開發、軟體或韌體之類的。而至於大學畢業後的研究所，系上有些會想去資工所、資管所、資科所(台大、陽交、中興等)，去爭取碩士學位，對未來就業也有相當的幫助!
 
至於師資的部分，以學長偶自己的experiences來說，因為偶們系是東吳最晚成立的系所，處於一個剛起步的時期，所以教授都很積極且很認真想要教栽培偶們。有多位教授都是業界牛逼的存在，跟著他們必定會學到很多，參加教授所領導的lab也會讓尼們都能有所收穫。

至於課堂部分，學弟妹只要懂得運用Chatgpt、Gemini ai、Copilot等各種AI tools，就可以很好的在程式設計、網頁程式設計、計算機概論等課堂中獲取高分!畢竟程式設計的期中期末都是可以使用輔助AI工具的。

人際關係的部分，重點是跟""學長姊""打好關係，最好能巴結就巴結，尼們如果有什麼小考或期中期末考就可以跟他們拿考古，這很重要!!!!!沒有考古會跟有考古的人差很多歐，有考古題前一天背背答案就可以輕鬆過甚至學期末拿書卷，沒考古即使天資再聰穎也會很吃力。

教室的部分就是電腦教室很香，階梯教室也還可以，小教室就很糟糕，想像70人擠一間高中舊教室的感覺，對大概就是尼現在腦海中浮現的~


學弟妹們加油歐，期待之後在學校相遇囉


(p.s.有些科目期末考不會發考卷，尼們只會知道分數，所以沒有argue的餘地歐)"
東吳資科相關,其他東吳資科,輔大兒家東吳社工選擇,2026/5/31 下午 7:12:24,學長姐們好，目前輔大兒家跟東吳社工都是正取，正在猶豫該怎麼選擇，未來比較想走諮商相關工作，進入學校後都會努力爭取雙主修，但也擔心無法成功申請，想詢問有比較推薦去哪個校系嗎🥹
東吳資科相關,其他東吳資科,中原資管＆東吳資管,2021/4/9 下午 10:49:08,"各位前輩後輩們好，小弟在此先奉上一杯茶（奉茶

事情是這樣的，我有一個高三的學妹最近在準備個申
她想走的是資訊管理學系
在第一篩選同時上了中原跟東吳
想請問各位大大，關於中原的資管與東吳的資管哪間會比較推薦
論師資的話哪一間的會比較好些

還望各位大大能為此解惑，謝謝

第一次發文，若有違規還請版主見諒"
東吳資科相關,其他東吳資科,東吳資管人工智慧/銘傳資工乙組 怎麼選,2026/5/20 下午 7:49:14,"我面試了輔仁醫資安還有上面兩個，感覺銘傳很積極輔仁待考慮，等放榜ing

想聽聽你們在東吳和銘傳的狀況或是選擇的建議🙏"
東吳資科相關,其他東吳資科,輔仁還是東吳,2026/6/2 下午 10:01:40,兩間都是同一個系，東吳的在外雙溪，想要雙主修 想了解哪一間的雙主修門檻 或是選擇東吳或輔仁的理由 謝謝各位學長姐了🙏🙏
東吳資科相關,其他東吳資科,上東吳啦！,2026/5/30 下午 8:20:10,終於可以用東吳的梗圖了👊
東吳資科相關,其他東吳資科,銘傳還是東吳呢,2026/5/22 下午 4:32:01,"想請問各位學長姐，聽家人說希望我去銘傳因為招生介紹招到他心坎了，看了很多評論感覺東吳是個大型補習班，現在感官來說的確銘傳不錯，此刻非常糾結🫠

本人比較在意：
1.學校資源
2.校內宿舍個人習慣
（第一次住宿）
3.教授態度
（銘傳教授非常和藹可親 讚!）
4.課程進度會不會太快

面試：
輔仁醫資安
銘傳資工乙組（桃）
東吳資管人工智慧組（城中）

*輔仁面試時很失敗收的人也少🫠

還請多多建議!!!"
東吳資科相關,其他東吳資科,115私校資管推甄分享（清大服科/政大資科/中央資管/交大管科乙/成大智慧科技系統）,2026/1/26 下午 1:23:18,"推甄告一個段落ㄌ，很感謝板上之前所有學長姐的幫助，也分享一下自己的狀況讓學弟妹參考～

🧸背景跟經歷
東吳資管4.5%
書卷*3
國科會大專生計劃通過*1
專題*1
其他比賽跟side project *5
純軟工程師實習*1
多益765💀

🧸推甄結果
清大服科 正取
政大資科 正取
中央資管 正取
交大管科乙 備5 （已備上）
成大智慧科技系統 備5 （已備上）
南交AI 備3x （已備上）
北科資工甲 二階撞期放棄
中興中山台科資管都沒進二階🫠

🧸書審
早早就有開始想要準備，但其實最後還是拖到簡章出來才開始趕工，我自己是掌握 少即是多 的原則，所以都挑重點寫，然後做一些圖表之類的

🧸面試題目分享
清大服科
（全英文）
1.自我介紹
2.介紹一個專案
3.專案技術問題
4.怎麼訓練模型的
5.訓練模型的資料哪裡來的
6.有什麼想問的嗎

政大資科
第一關
1.自我介紹
2.有上過什麼開放課程
3.說明雜湊怎麼做
4.大專生的技術問題
5.說明推薦系統的演算法
6.閒聊 東吳是不是也有資科
第二關
1.自我介紹
2.說明大專生
3.大專生相關問題

中央資管
第一關
1.自我介紹30秒
2.如何辨別模型產生假資料
3.人工智慧與資安的應用之類的
第二關
1.自我介紹30秒
2.分享大學遇到的一個難題
3.研究所除了想研究專題相關的領域外，還有什麼有興趣的研究主題
4.研究所和大學有什麼不一樣（搶答）

交大管科乙
第一關
1.自我介紹
2.有寫code嗎
3.做過印象最深刻的演算法
4.解釋這個演算法給大家聽
5.專題是在幹嘛
6.在專題中負責什麼
第二關
1.自我介紹
2.大專生計畫的技術問題
3.有報哪些
4.為什麼要錄取你

成大智慧科技系統
1.動機 跨領域理解
2.找那個教授 想做什麼
3.在研究過程中你覺得會遇到什麼困難
4.對這個教授想問什麼
5.專題動機

🧸心得
這次推甄其實我算是報了滿多系所的🫨
一開始會這樣是因為之前那些成績在前 1% 的學長姐，幾乎都是推到中央資管；而我自己的排名沒有他們那麼前面，但心裡又一直有一個想試試看頂大的念頭，所以就告訴自己：既然想去，那就認真準備、勇敢多投幾間夢幻志願。
當然同時也很現實地擔心，如果夢幻都沒上怎麼辦，所以還是有準備幾間心目中的「保底」。結果最後蠻意外的——保底反而都沒上，卻在夢幻志願那邊收到了好消息😻😻 雖然過程中難免焦慮、懷疑自己，但現在回頭看，還好當時沒有因為不安就放棄ㄌ

也想跟有類似心情的學弟妹說：不要因為覺得自己不夠強，就先把自己的選項刪掉！
成績和名次當然重要，但它們不是你全部的價值。之前做過的事不會不見，累積的實力跟能力也不會消失，只要在準備的過程中是認真面對的，那就有資格替自己多爭取幾個可能性。

最後，謝謝一路陪著我的朋友、家人，以及在過程中給我建議、拉我一把、聽我碎念的人；同時，我也很感謝那些不看好我、質疑我、甚至對我酸言酸語的人。沒有你們，就沒有現在的我！生命中的每一個 剛好，都是最好的安排 (⁎⁍̴̛ᴗ⁍̴̛⁎)

（每一間其實都有各自的心得跟感想，但實在太多ㄌ，如果有興趣想問可以留言，我再補充說明！）"
